ts_unix_ns,phase,kol_name,visibility,token_address,token_symbol,bnb_in_wei,gas_gwei,nonce,tx_hash,wallet_bnb,broadcast,limit_skip_reason
1780906053130826414,full,D,public,0x2dd0c348693f8ddd76f83ec58b00898742637655,,16808585985241466,0,0,0x0000000000000000000000000000000000000000000000000000000000000000,0.095300,false,unknown_venue
1780906053552213217,full,D,public,0x2dd0c348693f8ddd76f83ec58b00898742637655,,16808585985241466,0,0,0x0000000000000000000000000000000000000000000000000000000000000000,0.095300,false,unknown_venue
1780906058121427082,full,D,public,0x2dd0c348693f8ddd76f83ec58b00898742637655,,16808585985241466,0,0,0x0000000000000000000000000000000000000000000000000000000000000000,0.095300,false,unknown_venue
1780906070667753747,full,D,public,0x2dd0c348693f8ddd76f83ec58b00898742637655,,16808585985241466,0,0,0x0000000000000000000000000000000000000000000000000000000000000000,0.095300,false,unknown_venue
1780906078253350373,full,D,public,0x2dd0c348693f8ddd76f83ec58b00898742637655,,16808585985241466,0,0,0x0000000000000000000000000000000000000000000000000000000000000000,0.095300,false,unknown_venue
1780907347310613150,full,D,public,0x4710233c19b775340d0ef62013ecce929e1d7777,,16824168078957438,10,451,0xae77880c26419b6eba0b5b7d1b62cbee2e97753cbb45a43422be575da22952a2,0.095300,true,
1780909685674870482,full,D,public,0x6a3728e32c82caf24e0a8f19a4c2828213464444,,16736697963614302,10,454,0xabc3a00d1d0561143ddbfbe00936ccef572d0ec5681e991f1831cfcefd71a58c,0.096201,true,
1780909722627566598,full,TRAIL_be_locked,exit,0x6a3728e32c82caf24e0a8f19a4c2828213464444,,0,3,456,0x5605c80b00af28bc2957e251c213a3ab3731f6e80bfcc2e947c51b5e8f85e6c2,0.077099,true,
1780911400149954075,full,D,public,0xb85797db0533067fb1b43d3ab22c58db0fd84444,,16766801383317764,10,457,0x35dfbd7dca30943061b7bef85d8d7caa6f0e0970be4303e717a75a9e66c5acf2,0.092699,true,
1780912783970136467,full,D,public,0x1ba115818ca034b04d310dfc8eb985b3637c4444,,16681210746304916,10,458,0x36aa29eb4824f587602545ab2148761e0f12f7a4f0ed26b96e87c4341f75e1d9,0.091333,true,
1780912789428107670,full,TRAIL_trail,exit,0x1ba115818ca034b04d310dfc8eb985b3637c4444,,0,3,460,0xf09a2aab8d65ce04992a3444905aa5197da2c4b4d19505986aee405c63d027cc,0.072536,true,
1780912883052031539,full,D,public,0xb58ad09d1cdce5412ef88b50c3d2ad59b4984444,,16682745664321486,10,461,0xb6bd16cc5c1a60aab4592dabf95109127e44a7d4c2261ed64ee883ebfdb4aa4a,0.098261,true,
1780912887145197869,full,TRAIL_be_locked,exit,0xb58ad09d1cdce5412ef88b50c3d2ad59b4984444,,0,3,463,0x543bad069237f5d58d15183aa8a2d0cae4fab1c3156a82bfda84f2010744b8ce,0.079463,true,
1780913220115092581,full,D,public,0x547f945a52eabb008931a2753bae527369494444,,16691032217972880,10,464,0xf1a7f03fd9128b493f5fa70a93c9f8458fc04dc9947582bb083e9acc93cc21fa,0.093007,true,
1780913234310957119,full,TRAIL_be_locked,exit,0x547f945a52eabb008931a2753bae527369494444,,0,3,466,0x5ced4f3ea9312a9edac330deb03276adb70c1bcb3b79aaca01ced12ffa0fbde8,0.074200,true,
1780914458402374600,full,D,public,0xb57f4b2f676c0ed94a13ac257ac46f5cb4e19237,,33526021576486000,0,0,0x0000000000000000000000000000000000000000000000000000000000000000,0.088324,false,unknown_venue
