ts_utc,kol,visibility,token_symbol,token_address,dev_address,kol_entry_mcap_usd,our_entry_mcap_usd,kol_exit_mcap_usd,our_exit_mcap_usd,bnb_in,bnb_out,pnl_usd,pnl_pct,held_secs,close_reason,buy_kol_implied,sell_trigger_tx
2026-05-27 07:03:27,D,private,雪,0xeb42bbb7e5f813b980c8658501905292e6a34444,0x7c57d5632abe5027950f49c4619563dd068db1e7,4710.00,6673.00,11139.00,10355.00,0.018114,0.028110,6.53,55.19,11,kol_sell,,0x4349323072968883919af6ebcf1fad37f9789d600fbf8621891cd1f7a96c4f7c
2026-05-26 12:00:23,D,private,VIBEDOG,0xbd0be2e16948f7af29c7c048ae818cc271e54444,0x3add548bb066046e271c45e427a2dc5bc1cb907f,5600.00,5834.00,19002.00,17155.00,0.004908,0.014437,6.25,194.13,24,kol_sell,,0x6c3061e46e1d20fc288e7ef3f7cd9eed4ea8b69ca6491463f9324acd793bbd90
2026-05-27 15:59:40,D,public,FEMO,0xdeb8d1acb2b398012eb797a2b7fa989e78dc4444,,4580.00,4821.00,6472.00,6030.00,0.037671,0.047125,6.16,25.09,15,kol_sell,,0xd0b316052aa54b13439244e63a5b70cc31be3ad07b0c88bb4a63b7228fc42398
2026-05-27 07:03:27,D,private,雪,0xeb42bbb7e5f813b980c8658501905292e6a34444,0x7c57d5632abe5027950f49c4619563dd068db1e7,4710.00,6673.00,18937.00,17155.00,0.005978,0.015367,6.14,157.09,31,kol_sell,,0x804bbefa9cb21f7a196468df6926a347eadfb1481befd6084dfcda17a4b9838e
2026-05-27 16:36:01,D,public,TransparencyAlliance,0x4c714cc03cca688c529b674b7977727033634444,0xca897a53b7e603d0248adba31fd187525773cf21,7156.00,7532.00,9827.00,9157.00,0.038617,0.046932,5.42,21.53,38,kol_sell,,0x7943045ac5162df67b7bbf086d5062a6ce8029ba9805dca01e94ce638ee8df7e
2026-05-26 17:45:56,D,public,BUMP,0x1dd172d6d41722c825d23e04dbf91dc56bcd4444,,11381.00,11980.00,17010.00,15741.00,0.026056,0.034233,5.39,31.39,14,kol_sell,,0xee2d7997ab00dfd203fab3fe514a751c72648c40e5ff95eb0cc9950e4a3349a2
2026-05-26 12:01:14,D,private,BLOCKSHOALS,0x1c2ee8a2ed2be3bbbb36935fb1049fa849e34444,,6089.00,6342.00,12248.00,11053.00,0.008227,0.014334,4.01,74.24,4,kol_sell,,0x67b4cd2052eb4b35c850a82cc2ee496f1737d5781a3f5e167c12e4f74510686e
2026-05-26 14:30:12,D,public,和,0x0924a9743909aa6de5b2347191825f8f9c764444,0x32b68553255e3525519cc6bf21d4821e4e62d9bd,5697.00,7745.00,10162.00,9223.00,0.031102,0.037038,3.92,19.08,15,kol_sell,,0xccd74215b4d20d59b45f3fc4da5f0b216265a16f9756e9ade15068ea75227b95
2026-05-27 13:44:50,D,public,H🔶DL,0x6dabc6b5f07c7fdadbfbd4d64258937f07474444,0x4866015cc5f98911757e4d63fdfd859f594aef42,6682.00,7033.00,8772.00,8156.00,0.036407,0.042224,3.80,15.98,58,kol_sell,,0x3b65f822df2a706700caea791ecc9cf0a046f206c7a1512b40b994afe68acccb
2026-05-27 07:03:27,D,private,雪,0xeb42bbb7e5f813b980c8658501905292e6a34444,0x7c57d5632abe5027950f49c4619563dd068db1e7,4710.00,6673.00,18500.00,16230.00,0.004005,0.009741,3.75,143.23,45,kol_sell,,0xc29ee7e7b206d14deecf538a207fe2d11a087e18e5c2374ec351ceeaaab105de
2026-05-26 09:10:14,D,private,大熊贝尔,0xaa8ba2b3904efd96b63582e98845f8f03a494444,0x815f173371323a3f8ea9bf15059e91c9577ef7a7,7561.00,7876.00,11083.00,10160.00,0.015000,0.019349,2.85,28.99,7,kol_sell,,0x7085b652bf8cd1f5ebbb5c3cb2fd302d19acc7169bb3f571a57ae3baa63b59e6
2026-05-26 14:01:02,D,private,磁场,0xd5ffda00a91425a947011d60b96a4ed830144444,0x1f4788f67b734a693c474b6156d6729a61d4c46e,5124.00,7901.00,10155.00,9363.00,0.017012,0.020160,2.08,18.50,25,kol_sell,,0xa3de1ab656beb995a8e2e46cc27e744932eab7c2e5b10c486b42c19f4c5ad322
2026-05-26 15:32:35,D,public,Flipsters,0xff7d8d368d049b90ad7d05b8f2d0754f89544444,0xe93baefa2494fea0358d5b14add2487dbe670b55,4560.00,7489.00,9694.00,8159.00,0.032831,0.035771,1.94,8.96,6,kol_sell,,0xc21a753a6ffe03ad8ebb0f12ed44d55b7110f28997e53e376ae45fba3736baae
2026-05-26 14:23:09,D,public,耐心资本,0xca63471f4393e5e9d5ed709c5499407767164444,0x32b68553255e3525519cc6bf21d4821e4e62d9bd,4804.00,6282.00,7587.00,6878.00,0.030810,0.033731,1.93,9.48,19,kol_sell,,0x91d0769e7825c2718f5cf374b3b4f04dde824f45f74a3a35d42d75b099c7cfeb
2026-05-27 07:03:27,D,private,雪,0xeb42bbb7e5f813b980c8658501905292e6a34444,0x7c57d5632abe5027950f49c4619563dd068db1e7,4710.00,6673.00,13495.00,11448.00,0.004066,0.006974,1.90,71.54,68,kol_sell,,0xb47612956ba9bf60e25761fecc635fc84928897bd4bd43ce8516ade9b95ac4a8
2026-05-28 11:01:33,D,public,罗永浩的X字路口,0xfa88628a8669221db80bae8e971c33c8428a4444,0x0cd7aa893e2f84db32cc548c7ab4abb5e825af20,4939.00,5199.00,5745.00,5371.00,0.056348,0.058214,1.18,3.31,19,kol_sell,,0x27b23f89c1bbda1b9fded8ca89bd2753884eda95082aa356bd97163e5f0d88bf
2026-05-26 12:01:14,D,private,BLOCKSHOALS,0x1c2ee8a2ed2be3bbbb36935fb1049fa849e34444,,6089.00,6342.00,7693.00,6673.00,0.008144,0.008567,0.28,5.19,7,kol_sell,,0xc276cf9bfabc3905df08e63bbd19ebdbcf56eccb3020f86f5db619e6330062ee
2026-05-28 16:07:28,I,private,开始了,0xd0fb175508ed8ca5c7cec90184ddb0ab91114444,0xb72bf850b044111221bfb398dfb2e12d85c558f6,4599.00,4791.00,5213.00,4842.00,0.028141,0.028440,0.19,1.06,6,kol_sell,,0xef9870d9f2b95594c3e7fb93215ddfa0154362231d5d86390b083c720a7c290d
2026-05-27 13:23:56,I,public,香蕉猫,0xd9a60051addbd91310e5df79e081382b93b24444,0x6a900ee716a579a6ea984015697de9fbf98989fc,5657.00,5955.00,6475.00,5989.00,0.033486,0.033675,0.12,0.56,1,kol_sell,,0xcb9149da7584f147353aac18fab3a80ff502886dc5684611e63eefcb0799c420
