ts_unix_ns,portfolio,kol_name,token_address,token_symbol,bnb_in_wei,bnb_out_wei,pnl_wei,pnl_bnb,pnl_usd,pnl_pct,d_mcap_usd,our_entry_mcap_usd,bnb_usd_close,opened_at_block,closed_at_block,held_secs,buy_tx_count,close_reason,trigger_sell_tx,kol_exit_count,kol_exit_mcap_first_usd,kol_exit_mcap_last_usd,our_avg_exit_mcap_usd
1779292583887539153,fast_tip,A,0x6bb419542f4074e495e47b7ae9f90cf615dc4444,行业领军者,32500000000000000,34345322883974164,1845322883974161,0.001845,1.20,0.056779,6196,7861,648.64,99416794,99416813,9,1,kol_sell,0x765b37362acd9e0c2b6aaa2c30739f1933efe20b0c88a1a7adb750f47e08df7b,3,10254,4255,8307
1779292583887540763,normal_tip,A,0x6bb419542f4074e495e47b7ae9f90cf615dc4444,行业领军者,32500000000000000,34345322883974164,1845322883974161,0.001845,1.20,0.056779,6196,7861,648.64,99416794,99416816,10,1,kol_sell,0x765b37362acd9e0c2b6aaa2c30739f1933efe20b0c88a1a7adb750f47e08df7b,3,10254,4255,8307
1779292604950514919,normal_tip,A,0x64e6bd65568a23e0fa8a4958983c1d17f16d4444,行业领军者,60000000000000000,28289705394889828,-31710294605110172,-0.031710,-20.57,-0.528505,12416,13330,648.69,99416841,99416863,10,1,kol_sell,0xb40273e17524c1f077e38442baffa29e8ae2cbc58cc01613e49e598b579c09c5,1,6592,6592,6285
1779292604950513469,fast_tip,A,0x64e6bd65568a23e0fa8a4958983c1d17f16d4444,行业领军者,60000000000000000,28289705394889828,-31710294605110172,-0.031710,-20.57,-0.528505,12416,13330,648.69,99416841,99416865,11,1,kol_sell,0xb40273e17524c1f077e38442baffa29e8ae2cbc58cc01613e49e598b579c09c5,1,6592,6592,6285
1779292624795481791,normal_tip,A,0x64e6bd65568a23e0fa8a4958983c1d17f16d4444,行业领军者,32500000000000000,39445307689236360,6945307689236360,0.006945,4.51,0.213702,6818,8572,648.69,99416885,99416911,12,1,kol_sell,0x0945358cd9f7ca190802d2a88258f1f6e67aee5af1f0179a6f90ae4fbfcc1a0f,2,10029,11516,10403
1779292624795480101,fast_tip,A,0x64e6bd65568a23e0fa8a4958983c1d17f16d4444,行业领军者,32500000000000000,39445307689236360,6945307689236360,0.006945,4.51,0.213702,6818,8572,648.69,99416885,99416912,12,1,kol_sell,0x0945358cd9f7ca190802d2a88258f1f6e67aee5af1f0179a6f90ae4fbfcc1a0f,2,10029,11516,10403
1779292984261029625,normal_tip,A,0x6f82ffa491c283dd74b09c94071392afc76b4444,EX677,32500000000000000,49749250846035224,17249250846035222,0.017249,11.19,0.530746,11008,12144,648.51,99417682,99417761,37,1,kol_sell,0xcd56c7f07bc24f51fbd8c49edf3ebb2504d6a3d790044f1dd33286915f350803,3,14033,25661,18589
1779292984261028505,fast_tip,A,0x6f82ffa491c283dd74b09c94071392afc76b4444,EX677,32500000000000000,49749250846035224,17249250846035222,0.017249,11.19,0.530746,11008,12144,648.51,99417682,99417764,37,1,kol_sell,0xcd56c7f07bc24f51fbd8c49edf3ebb2504d6a3d790044f1dd33286915f350803,3,14033,25661,18589
1779293102440246560,fast_tip,C,0x205f39c39f5fe15d4ef000aeb835de8deb264444,14,50000000000000000,63769939091036840,13769939091036840,0.013770,8.93,0.275399,131532,143662,648.64,99417944,99418059,52,1,kol_sell,0x3024a2c398cb717318dd4abc35e472aa5450546b9da292676e04d50949248b0f,3,207335,161032,183227
1779293102440247700,normal_tip,C,0x205f39c39f5fe15d4ef000aeb835de8deb264444,14,50000000000000000,63769939091036840,13769939091036840,0.013770,8.93,0.275399,131532,143662,648.64,99417944,99418060,52,1,kol_sell,0x3024a2c398cb717318dd4abc35e472aa5450546b9da292676e04d50949248b0f,3,207335,161032,183227
