ts_unix_ns,portfolio,kol_name,token_address,token_symbol,bnb_in_wei,bnb_out_wei,pnl_wei,pnl_bnb,pnl_usd,pnl_pct,d_mcap_usd,our_entry_mcap_usd,bnb_usd_close,opened_at_block,closed_at_block,held_secs,buy_tx_count,close_reason,trigger_sell_tx,kol_exit_count,kol_exit_mcap_first_usd,kol_exit_mcap_last_usd,our_avg_exit_mcap_usd
1779739320340951557,fast_tip,M,0x62ba69199e62331a16b68e4abe149d73cd894444,KK键盘,37555367148247323,47270399580017559,9715032431770236,0.009715,6.43,0.258686,11553,13823,661.66,100408214,100411217,1353,1,kol_sell,0x533487b412069297ed81fa3b3c6bd55ee93925ec29bb83a9b57bb796ee5759fa,1,18619,18619,17396
1779759934801133580,fast_tip,O,0xdfeb2ebfbbc46bb1466f9ac1a34f3ad676a14444,ceezee,30000000000000000,33729852311034376,3729852311034376,0.003730,2.45,0.124328,31152,31298,657.26,100453981,100455161,532,1,kol_sell,0xb96f3ceafcd408dd2080832580c60ddc0f5680a5e68905d46d3e23d1af27879e,1,37394,37394,35246
1779761130410700450,fast_tip,N,0x767e373b78aadb084201045f979c556f7e0b4444,企鹅岛,26469633659918504,20095189403761523,-6374444256156981,-0.006374,-4.19,-0.240821,7377,8100,657.54,100456635,100456796,74,1,kol_sell,0xcf32fed1e238139b7cd3ccc67e06d26df815ed15b8c4141881544f79bdb1633f,1,6915,6915,6155
1779763186665436866,fast_tip,N,0x878a9fe3bc105d74821914fc950a8fd7a1fe4444,NATHAN,25832189234302806,41139292690504987,15307103456202181,0.015307,10.08,0.592559,6568,6842,658.24,100461199,100461227,13,1,kol_sell,0xf51107160ec08e9c753bff113d30d70f45fed50559920882b811510492121eb8,1,11601,11601,10896
1779764926970612251,fast_tip,N,0x9230e5584e514c6cd044e0445f1bd3476eaf4444,区块恋,27362899579923024,33355565070105258,5992665490182234,0.005993,3.94,0.219007,5957,6206,657.48,100465062,100465094,15,1,kol_sell,0x2009dc2a55314d04bd451a446ca30e2adad0d4b29bd063cf84e172877fd9433c,1,8028,8028,7565
1779764968373563770,fast_tip,B,0x9230e5584e514c6cd044e0445f1bd3476eaf4444,区块恋,30000000000000000,22446970404973608,-7553029595026392,-0.007553,-4.96,-0.251768,8501,8855,657.09,100465153,100465827,305,1,kol_sell,0xa4b922e2e32af51964862da3ea8c722d5788a4828caa6c5555af4433aafdc51b,1,7219,7219,6625
1779765595716771118,fast_tip,N,0xe6c238d6e4b756c9dbc9a0989e012dcb80774444,Mythos,25165949516047123,20814703305774900,-4351246210272223,-0.004351,-2.86,-0.172902,18698,18790,657.63,100466544,100466731,84,1,kol_sell,0x01e581334363b859dd10fd613857b7222ff8955461358b74159385b2ce636644,1,17419,17419,15544
1779765190917232427,fast_tip,N,0x6ec6eebf4a44ea09cd888a5f477483db8d4f4444,币安恋,27962166128941247,26999696464773446,-962469664167801,-0.000962,-0.63,-0.034420,4162,4421,657.48,100465647,100466850,544,1,kol_sell,0x30964f1df54b3e3055e8896668889aaaa25ff41758af1087ae59d8e639728894,1,4613,4613,4268
1779765842395264084,fast_tip,N,0x6657adbcaa70f579a46a13dbab7961695e434444,币安恋,27430794541497245,33659673528497977,6228878987000732,0.006229,4.10,0.227076,4686,4881,657.58,100467092,100467384,133,1,kol_sell,0xd312fd757619ac2bc3e29456f8d31495929c854f18a35d320b07c5506d771d44,1,6408,6408,5989
1779766191493147741,fast_tip,A,0xc1d2fcf05981abce56525b07261500aaa8c54444,藏鹅の家族,20225468808671276,21543076823272813,1317608014601537,0.001318,0.87,0.065146,4398,5022,657.13,100467863,100468026,74,1,kol_sell,0xd0fd2b0dd03e5f7443c83c3bbd416184d10297c56d13cc01b02c01705eb9cbc5,1,5856,5856,5351
