ts_unix_ns,portfolio,kol_name,token_address,token_symbol,bnb_in_wei,bnb_out_wei,pnl_wei,pnl_pct,opened_at_block,closed_at_block,held_secs,buy_tx_count,close_reason,trigger_sell_tx
1778953486888493008,normal_tip,D,0x8f6e27c7f7a36c2cabe4c2fade26ab6276164444,仗义走天涯,34500000000000000,59069070308022599,24569070308022599,0.712147,98664288,98664420,59,1,kol_sell,0x7eb1362633a1dd620da0872c9cbedbdafc0ef24ba591cca83cd95ce5c134f448
1778953486888491228,fast_tip,D,0x8f6e27c7f7a36c2cabe4c2fade26ab6276164444,仗义走天涯,34500000000000000,59069070308022599,24569070308022599,0.712147,98664288,98664420,59,1,kol_sell,0x7eb1362633a1dd620da0872c9cbedbdafc0ef24ba591cca83cd95ce5c134f448
